nohup: ignoring input
[32m[I 2024-03-05 07:51:27,354][0m A new study created in memory with name: no-name-14f7059a-46f8-4ce2-8f0a-e65650ea1a35[0m
Epoch 42/50, Validation AUC-ROC: 0.7919346679082119
Epoch 43/50, Validation AUC-ROC: 0.79250713141588
Epoch 44/50, Validation AUC-ROC: 0.7929880071100678
Epoch 45/50, Validation AUC-ROC: 0.7936059694775204
Epoch 46/50, Validation AUC-ROC: 0.7940979999495632
Epoch 47/50, Validation AUC-ROC: 0.7938918260672096
Epoch 48/50, Validation AUC-ROC: 0.7941827700984014
Epoch 49/50, Validation AUC-ROC: 0.7959943753542567
Epoch 50/50, Validation AUC-ROC: 0.7952147164700751
Epoch 1/50, Validation AUC-ROC: 0.6629799833110727
Epoch 2/50, Validation AUC-ROC: 0.6858919180796493
Epoch 3/50, Validation AUC-ROC: 0.6967228334372184
Epoch 4/50, Validation AUC-ROC: 0.7169574066258599
Epoch 5/50, Validation AUC-ROC: 0.7241071719075953
Epoch 6/50, Validation AUC-ROC: 0.7296203682193545
Epoch 7/50, Validation AUC-ROC: 0.7328140487705802
Epoch 8/50, Validation AUC-ROC: 0.73546557305427
Epoch 9/50, Validation AUC-ROC: 0.7371375571665952
Epoch 10/50, Validation AUC-ROC: 0.7389216217387434
Epoch 11/50, Validation AUC-ROC: 0.7398252477962504
Epoch 12/50, Validation AUC-ROC: 0.741412480881868
Epoch 13/50, Validation AUC-ROC: 0.7426444592136813
Epoch 14/50, Validation AUC-ROC: 0.7438471963578643
Epoch 15/50, Validation AUC-ROC: 0.7447743327410405
Epoch 16/50, Validation AUC-ROC: 0.7462202720559017
Epoch 17/50, Validation AUC-ROC: 0.7473562239707946
Epoch 18/50, Validation AUC-ROC: 0.7486485128022937
Epoch 19/50, Validation AUC-ROC: 0.7496639434870458
Epoch 20/50, Validation AUC-ROC: 0.7507804345332623
Epoch 21/50, Validation AUC-ROC: 0.7520937922786786
Epoch 22/50, Validation AUC-ROC: 0.7533712257652323
Epoch 23/50, Validation AUC-ROC: 0.7549651697987788
Epoch 24/50, Validation AUC-ROC: 0.7563376056004484
Epoch 25/50, Validation AUC-ROC: 0.7577050661453564
Epoch 26/50, Validation AUC-ROC: 0.7591953382111175
Epoch 27/50, Validation AUC-ROC: 0.7604063327262982
Epoch 28/50, Validation AUC-ROC: 0.7620363286646341
Epoch 29/50, Validation AUC-ROC: 0.7629362632606218
Epoch 30/50, Validation AUC-ROC: 0.7638590875589789
Epoch 31/50, Validation AUC-ROC: 0.7648535549678221
Epoch 32/50, Validation AUC-ROC: 0.7655643094969227
Epoch 33/50, Validation AUC-ROC: 0.7669439125440299
Epoch 34/50, Validation AUC-ROC: 0.7679530254889959
Epoch 35/50, Validation AUC-ROC: 0.7688139605863181
Epoch 36/50, Validation AUC-ROC: 0.7694547695490411
Epoch 37/50, Validation AUC-ROC: 0.7706529437181349
Epoch 38/50, Validation AUC-ROC: 0.7723253313089647
Epoch 39/50, Validation AUC-ROC: 0.7730207800643893
Epoch 40/50, Validation AUC-ROC: 0.7736268752037639
Epoch 41/50, Validation AUC-ROC: 0.7743076314728399
Epoch 42/50, Validation AUC-ROC: 0.7758800693684895
Epoch 43/50, Validation AUC-ROC: 0.7761164549532301
Epoch 44/50, Validation AUC-ROC: 0.777364904011202
Epoch 45/50, Validation AUC-ROC: 0.7781408430603246
Epoch 46/50, Validation AUC-ROC: 0.7793549744374798
Epoch 47/50, Validation AUC-ROC: 0.7794538574822134
Epoch 48/50, Validation AUC-ROC: 0.7805025391973351
